CÓDIGO,CODIGO NUEVO,CLIENTE,Imagen del producto,PRODUCTO,MATERIAL,Ubicación en almacén,MAERIA PRIMA,CALIBRE,PIEZAS POR HORA,ANCHO DE TIRA mm,MEDIDAS X PIEZA mm,ACABADO,PIEZAS LAMINA DE 4 x 8 A,PIEZAS POR LAMINA DE 4 x 8,PIEZAS POR LAMINA DE 2 x 1,EMPAQUE DE ,STOCK,VALOR UNI FAB MP
INT-01,,INTERGRIFOS,,Arandela cóncava,A.INOX,,A.INOX 20,20,,110,,SIN,861,902,666,,,
Soporte Motor,,HERMANOS MARTINEZ,,Soporte Motor,LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  16,16,,"83,5",,,,,1204,,,
Sello metalico (Cazuela),,ECOIMPACTO,,Sello metalico (Cazuela),LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  24,24,,"97,5",,,,408,,,,
171786,,FUNDICOM,,Reten Resorte C/M Montero,LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  24,24,,,,SIN,,,,,,
170082,,FUNDICOM,,Reten Resorte Montero EMB-B2000,LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  24,24,,,,SIN,,,,,,
171242,,FUNDICOM,,Terminal DER DEP M323/R,Bronce laton,,Bronce laton 20,20,,51,,SIN,,,,,,
171243,,FUNDICOM,,Terminal IZQ DEP M323/R,Bronce laton,,Bronce laton 20,20,,51,,SIN,,,,,,
170334,,FUNDICOM,,Arandela Tapa Deposito Liq Freno,Bronce laton,Almacen,"Bronce laton 0,3","0,3",,46,,SIN,,,,,,
8021,,COMERCIAL LEOSAN,,Tuerca Arandela A.I 304,INOX 304,,INOX 304 14,14,,100,,SIN,,288,200,,,
8020,,COMERCIAL LEOSAN,,Tuerca Arandela Fleje Acero recocido 1070,Fleje 1070,,Fleje 1070 14,14,,100,100 unds x mtro2,,,100,,,,
8010,,COMERCIAL LEOSAN,,Tuerca Arandela Fleje Acero recocido 1070,Fleje 1070,,Fleje 1070 20,20,,60,,,,170,,,,
8020-1,,COMERCIAL LEOSAN,,Tuerca Arandela Lamina,LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  14,14,,100,,,,288,,,,
8010-1,,COMERCIAL LEOSAN,,Tuerca Arandela Lamina,LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  18,18,,60,55,,,800,,,,
Soporte LC televisor No 1,,RC,,Soporte LC televisor No 1,LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  14,14,,,182 X 563,,,,,,,
Soporte LC televisor No 2,,RC,,Soporte LC televisor No 2,LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  14,14,,,78 X 300,,,,,,,
Soporte LC televisor No 3,,RC,,Soporte LC televisor No 3,LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  14,14,,,102 X 110,,,,,,,
Abrazadera exhosto,,RC,,Abrazadera exhosto,LAMINA HR CALIBRE ,,LAMINA HR CALIBRE  12,12,,160,,zincado blanco,,112,,,,
Eslabon cadena IQF DER / IZQ (servicio troquelado),,CORTES Y DOBLECES,,Eslabon cadena IQF DER / IZQ (servicio troquelado),A.INOX,,A.INOX 16,16,,73,,,,,,,,
Puente canoa,,PRODUCTOS Y PTES,,Puente canoa,AD,,AD 12,12,,81,,SIN,840,900,600,,,
Lengüeta 8 mm,,PRODUCTOS Y PTES,,Lengüeta 8 mm,LAMINA HR CALIBRE ,,"LAMINA HR CALIBRE  5/16""","5/16""",,,,SIN,540,540,,,,
Cuerpo Balancin Largo (Platina Larga Troquelada),,PRODUCTOS Y PTES,,Cuerpo Balancin Largo (Platina Larga Troquelada),LAMINA HR CALIBRE ,,LAMINA HR CALIBRE  8mm,8mm,,135,"32 x 125,5",SIN,,528,440,,,
Cuerpo Balancin Corto (Platina Larga Troquelada),,PRODUCTOS Y PTES,,Cuerpo Balancin Corto (Platina Larga Troquelada),LAMINA HR CALIBRE ,,LAMINA HR CALIBRE  8mm,8mm,,108,"36 x 100,5",SIN,,660,550,,,
Automatico (Herradura) DER/IZQ,,PRODUCTOS Y PTES,,Automatico (Herradura) DER/IZQ,LAMINA CR CALIBRE ,,LAMINA CR CALIBRE  14,14,,96,,SIN,,624,,,,
